capacity_bytes,date,failure,model,serial_number,smart_1_raw,smart_12_raw,smart_183_raw,smart_184_raw,smart_187_raw,smart_188_raw,smart_189_raw,smart_190_raw,smart_192_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw,smart_3_normalized,smart_4_raw,smart_5_raw,smart_7_raw,smart_9_raw
4000787030016,2016-01-11,0,ST4000DM000,S300Z40J,241375448.0,2.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,12113.0,36.0,0.0,0.0,0.0,3301.0,20667762624.0,2734218026.0,98.0,2.0,0.0,156240904.0,3374.0
4000787030016,2016-02-28,0,ST4000DM000,Z3052B2V,167758496.0,3.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,6840.0,23.0,0.0,0.0,0.0,391.0,1584725944.0,289690687.0,97.0,3.0,0.0,7178478.0,462.0
4000787030016,2016-01-11,0,ST4000DM000,Z300GPCT,66213768.0,7.0,0.0,0.0,0.0,4.0,6.0,24.0,3.0,11180.0,24.0,0.0,0.0,11.0,116376433874209.0,27090792562.0,133300599127.0,93.0,7.0,0.0,697331735.0,21843.0
4000787030016,2016-01-11,0,ST4000DM000,Z302T6R6,98034752.0,4.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,5537.0,36.0,0.0,0.0,0.0,2605.0,16772468304.0,1656551765.0,96.0,4.0,0.0,125747362.0,2699.0
4000787030016,2016-09-12,1,ST4000DM000,Z300X74C,35808920.0,8.0,0.0,0.0,0.0,0.0,16.0,21.0,2.0,8813.0,21.0,0.0,0.0,0.0,23987.0,26356359102.0,239301883594.0,91.0,8.0,0.0,747460649.0,24025.0
4000787030016,2016-01-11,0,ST4000DM000,Z3014BXW,101886296.0,18.0,1.0,0.0,0.0,0.0,2.0,23.0,10.0,8961.0,23.0,0.0,0.0,0.0,1958505104759.0,22501634962.0,211205820340.0,92.0,18.0,0.0,378592088.0,17822.0
4000787030016,2016-04-26,1,ST4000DM000,S300Z511,79951664.0,2.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,18528.0,25.0,2496.0,2496.0,0.0,5831.0,24641185256.0,7679345096.0,98.0,2.0,0.0,247131594.0,5936.0
4000787030016,2016-01-11,0,ST4000DM000,W300K14C,243880808.0,4.0,1.0,0.0,0.0,0.0,22.0,33.0,1.0,1226.0,33.0,0.0,0.0,0.0,22398254467825.0,24780385844.0,229600243025.0,96.0,4.0,0.0,478113849.0,19213.0
4000787030016,2016-01-11,0,ST4000DM000,S300Z5Q1,37351856.0,2.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,40244.0,33.0,0.0,0.0,0.0,3934.0,19972000568.0,1953094554.0,98.0,2.0,0.0,163432306.0,4258.0
4000787030016,2016-04-02,0,ST4000DM000,Z305KVH5,77055608.0,1.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,2419.0,25.0,0.0,0.0,0.0,393.0,3142487096.0,346623810.0,99.0,1.0,0.0,15987531.0,438.0
4000787030016,2016-02-19,0,ST4000DM000,Z305D3F4,87496208.0,3.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,1775.0,30.0,0.0,0.0,0.0,448.0,3443311072.0,351136210.0,96.0,4.0,0.0,19149475.0,533.0
4000787030016,2016-07-09,0,ST4000DM000,Z304TNQC,28696232.0,6.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,31538.0,22.0,0.0,0.0,0.0,4726.0,22034427104.0,2922881506.0,93.0,7.0,0.0,200624165.0,5117.0
4000787030016,2016-07-14,1,ST4000DM000,W300ATH8,217225872.0,18.0,0.0,0.0,0.0,0.0,2.0,24.0,9.0,27300.0,24.0,0.0,0.0,0.0,24284.0,26120748350.0,126835167677.0,92.0,19.0,0.0,645531089.0,24401.0
4000787030016,2016-10-30,1,ST4000DM000,Z302F0C2,175681416.0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,32150.0,18.0,0.0,0.0,0.0,13313.0,39850190040.0,14638742637.0,99.0,1.0,0.0,533653424.0,13471.0
